text,intent
"mujhe bahut dar lag raha hai",Stress
"bohot anxiety ho rahi hai",Stress
"andar se ghabrahat ho rahi hai",Stress
"heart fast dhadak raha hai darr se",Stress
"lagta hai kuch galat hone wala hai",Stress
"bahut zyada tension aur darr hai",Stress
"i feel scared and anxious",Stress
"i am feeling very nervous and afraid",Stress
"work load bahut zyada badh gaya hai",Stress
"i am feeling so burnt out lately",Stress
"raat ko neend nahi aati tension ki wajah se",Stress
"dimag bilkul phat raha hai itni chinta hai",Stress
"too much pressure at the office",Stress
"man bahut bhari bhari lag raha hai",Stress
"everything is overwhelming me right now",Stress
"chhoti chhoti baat par gussa aa raha hai",Stress
"i can't stop overthinking everything",Stress
"itna zyada stress handle nahi ho raha",Stress
"pata nahi future mein kya hoga darr lag raha hai",Stress
"i feel like i am under a lot of pressure",Stress
"office ki deadlines khatam hi nahi ho rahi",Stress
"dil ki dhadkan badh rahi hai ghabrahat se",Stress
"i am losing my peace of mind",Stress
"ghar ki problems ki wajah se bahut tension hai",Stress
"constant headache ho raha hai stress se",Stress
"i feel like crying for no reason",Stress
"exams ka darr sataye ja raha hai",Stress
"i am at my breaking point",Stress
"itna shor hai dimaag mein sukoon nahi hai",Stress
"i feel so restless these days",Stress
mujhe bahut tension hai,Stress
mujhe stress ho raha hai,Stress
bahut tension hai,Stress
pareshan hoon bahut,Stress
dimag kharab ho raha hai,Stress
bahut pressure feel ho raha hai,Stress
ghabra raha hoon,Stress
sab kuch overwhelming lag raha hai,Stress
"sirf negative thoughts hi aa rahe hain",Stress
"too many responsibilities on my shoulders",Stress
"i am struggling to keep it together",Stress
"exams ke liye kaise prepare karun?",Learning
"i am struggling to understand this topic",Learning
"coding seekhne ka sabse accha tareeka kya hai?",Learning
"mujhe maths bilkul samajh nahi aata",Learning
"how to improve my communication skills?",Learning
"revision karne ka time nahi mil raha",Learning
"concepts clear nahi ho rahe hain",Learning
"i want to learn a new language",Learning
"online courses suggest kijiye",Learning
"notes banane mein problem ho rahi hai",Learning
"concentration nahi ban paa rahi padhai mein",Learning
"how can i score better in finals?",Learning
"biology ke diagrams bahut mushkil hain",Learning
"i need a study timetable",Learning
"complex formulas yaad nahi rehte",Learning
"merai basics bahut weak hain",Learning
"mujhe history bore lagti hai",Learning
"how to read faster and retain more?",Learning
"grammar mein bahut galtiyan hoti hain",Learning
"i want to upgrade my skills",Learning
"kahan se start karun padhna?",Learning
"ye project kaise complete hoga?",Learning
"i need a tutor for physics",Learning
"book padhne ka mann karta hai par focus nahi hota",Learning
"effective way to learn data science",Learning
"i feel so isolated from everyone",Loneliness
"koi mujhse baat nahi karta",Loneliness
"i have no friends to share my feelings",Loneliness
"feeling very lonely tonight",Loneliness
"sabke beech hokar bhi akela lagta hai",Loneliness
"i miss having someone to talk to",Loneliness
"ghar pe sab busy rehte hain",Loneliness
"i feel like an outsider everywhere",Loneliness
"tanhai se darr lagne laga hai",Loneliness
"no one really understands me",Loneliness
"i am spending all my time alone",Loneliness
"kisi ka saath chahiye bas",Loneliness
"i feel disconnected from the world",Loneliness
"sab dost badal gaye hain",Loneliness
"i have no one to call in an emergency",Loneliness
"akelaapan khaaye ja raha hai",Loneliness
"social media dekh kar aur akela lagta hai",Loneliness
"i wish i had a best friend",Loneliness
"room mein akele baithe rehna pasand nahi",Loneliness
"i feel ignored by my colleagues",Loneliness
"no one checked on me today",Loneliness
"it's hard being alone all the time",Loneliness
"everyone else has someone except me",Loneliness
"long distance ki wajah se akela feel hota hai",Loneliness
"i feel invisible to others",Loneliness
"kya mai job lu ya padhai karun",Confusion/DecisionMaking
kya karun samajh nahi aa raha,Confusion/DecisionMaking
samajh nahi aa raha kya karun,Confusion/DecisionMaking
kuch samajh nahi aa raha,Confusion/DecisionMaking
bahut confused hoon,Confusion/DecisionMaking
koi guidance nahi hai,Confusion/DecisionMaking
faisla nahi ho pa raha,Confusion/DecisionMaking
"should i study or take a job",Confusion/DecisionMaking
"career decision samajh nahi aa raha",Confusion/DecisionMaking
"do options me confuse hoon",Confusion/DecisionMaking
"which path should i choose",Confusion/DecisionMaking
"i don't know what to choose",Confusion/DecisionMaking
"career aur passion mein se kya chunoon?",Confusion/DecisionMaking
"i am stuck between two options",Confusion/DecisionMaking
"kya mujhe ye job chhod deni chahiye?",Confusion/DecisionMaking
"i am so confused about my life",Confusion/DecisionMaking
"samajh nahi aa raha sahi kya hai galat kya",Confusion/DecisionMaking
"should i move to a new city?",Confusion/DecisionMaking
"dimag kuch keh raha hai aur dil kuch aur",Confusion/DecisionMaking
"it's hard to make a final call",Confusion/DecisionMaking
"i keep changing my mind",Confusion/DecisionMaking
"confused hoon ki science loon ya commerce",Confusion/DecisionMaking
"is it worth taking a risk?",Confusion/DecisionMaking
"faisla lene mein darr lag raha hai",Confusion/DecisionMaking
"i need clarity on this situation",Confusion/DecisionMaking
"pata nahi mera rasta kahan ja raha hai",Confusion/DecisionMaking
"too many choices are making me anxious",Confusion/DecisionMaking
"should i marry now or wait?",Confusion/DecisionMaking
"kya ye mere liye sahi investment hai?",Confusion/DecisionMaking
"i am questioning my choices",Confusion/DecisionMaking
"options dekh kar dimaag ghum raha hai",Confusion/DecisionMaking
"how to decide the best path for me?",Confusion/DecisionMaking
"faisla galat ho gaya toh kya hoga?",Confusion/DecisionMaking
"i need someone to guide my decision",Confusion/DecisionMaking
"uncertainty ki wajah se pareshan hoon",Confusion/DecisionMaking
"which college should i pick?",Confusion/DecisionMaking
"mere paas koi goals nahi hain",Motivation
"i feel like giving up on everything",Motivation
"kaam karne ka mann nahi karta",Motivation
"how to stay motivated every day?",Motivation
"life mein koi purpose nahi lag raha",Motivation
"i am feeling very low and lazy",Motivation
"kuch bada karna hai par start nahi kar pa raha",Motivation
"i need some inspiration to work",Motivation
"sab thik ho jayega na?",Motivation
"i feel like a failure in life",Motivation
"apne aap par bharosa nahi ho raha",Motivation
"how to stop procrastinating?",Motivation
"i have lost my spark",Motivation
"mujhe lagta hai main kuch nahi kar sakta",Motivation
"i need a push to start exercising",Motivation
"sapne toh bahut hain par himmat nahi",Motivation
"i am tired of being average",Motivation
"why am i so demotivated?",Motivation
"dusron ko dekh kar lagta hai main peeche hoon",Motivation
"i want to change my life for the better",Motivation
"energetic feel nahi ho raha",Motivation
"kuch karne ki iccha hi mar gayi hai",Motivation
"how to stay positive in bad times?",Motivation
"i need a reason to keep going",Motivation
"mujhe khud ko prove karna hai",Motivation
"market mein jobs nahi mil rahi hain",Career
"is my current field good for the future?",Career
"i want to switch from IT to management",Career
"salary growth nahi ho rahi hai",Career
"how to prepare for a big interview?",Career
"career growth ruk gayi hai",Career
"i am worried about layoffs",Career
"freelancing start karun ya job?",Career
"resume mein kya changes karun?",Career
"promotion kab milega pata nahi",Career
"i want to start my own business",Career
"skills upgrade kaise karun for career?",Career
"i feel stuck in a dead-end job",Career
"is a master's degree worth it now?",Career
"office politics career kharab kar rahi hai",Career
"i want to work abroad",Career
"startup join karna sahi rahega?",Career
"career change karne mein darr lag raha hai",Career
"how to negotiate salary?",Career
"mujhe coding jobs mein interest hai",Career
"networking kaise badhaun career ke liye?",Career
"i am confused about my niche",Career
"part-time job options kya hain?",Career
"internship nahi mil rahi hai",Career
"career orientation ki zaroorat hai",Career
"monthly budget manage nahi ho raha",Finance
"loans ki wajah se bahut pareshan hoon",Finance
"paisa kahan kharch ho raha hai pata nahi chalta",Finance
"i need to save more money",Finance
"investing kahan se start karun?",Finance
"bank balance kam hota ja raha hai",Finance
"credit card bills are piling up",Finance
"paisa bacha nahi pa raha hoon",Finance
"financial stability kaise milegi?",Finance
"too many unexpected expenses",Finance
"stock market mein paisa lagana chahiye?",Finance
"mere upar bahut karz hai",Finance
"how to create a passive income?",Finance
"salary aate hi khatam ho jati hai",Finance
"i am worried about my retirement",Finance
"paisa kamane ka koi naya tareeka?",Finance
"insurance lena zaroori hai kya?",Finance
"tax bachaane ke tips chahiye",Finance
"inflation ki wajah se kharcha badh gaya hai",Finance
"i feel broke all the time",Finance
"emergency fund kaise banaye?",Finance
"gold mein invest karna kaisa rahega?",Finance
"family expenses manage nahi ho rahe",Finance
"i need advice on mutual funds",Finance
"financial crisis chal rahi hai",Finance
"pet mein dard ho raha hai subah se",Health
"i am feeling very weak lately",Health
"weight loss kaise karun jaldi?",Health
"diet plan suggest kijiye for weight gain",Health
"mental health par dhyan dena hai",Health
"body pain ki wajah se kaam nahi ho raha",Health
"i am suffering from chronic back pain",Health
"baal bahut jhad rahe hain",Health
"i need to quit my smoking habit",Health
"skin infections ho rahe hain bar bar",Health
"how to improve my immune system?",Health
"sugar levels control nahi ho rahe",Health
"i feel dizzy all the time",Health
"eyesight week ho rahi hai screen time se",Health
"yoga ke kya benefits hain?",Health
"gym join karun ya ghar par workout?",Health
"i have high blood pressure issues",Health
"doctor se kab consult karna chahiye?",Health
"thakan bahut jaldi ho jati hai",Health
"i want to lead a healthy lifestyle",Health
"digestion ki problem hai bahut",Health
"pairo mein sujan aa gayi hai",Health
"i am not eating properly",Health
"allergies ki wajah se pareshan hoon",Health
"heavy feeling in my chest",Health
"partner ke saath roz jhagda hota hai",Relationship
"i think my partner is cheating on me",Relationship
"long distance relationship manage nahi ho raha",Relationship
"how to move on after a breakup?",Relationship
"parents shaadi ke liye force kar rahe hain",Relationship
"i am in a toxic relationship",Relationship
"humare beech communication gap hai",Relationship
"trust issues ho rahe hain bohot",Relationship
"i want to propose but i am scared",Relationship
"meri family partner ko accept nahi kar rahi",Relationship
"relationship mein interest khatam ho raha hai",Relationship
"how to fix a broken relationship?",Relationship
"my friend betrayed my trust",Relationship
"breakup se kaise bahar aau?",Relationship
"husband/wife ke saath banti nahi hai",Relationship
"i feel ignored by my partner",Relationship
"should i give a second chance?",Relationship
"social anxiety ki wajah se date nahi kar pata",Relationship
"feeling heartbroken and sad",Relationship
"meri personal life disturb ho gayi hai",Relationship
"we fight over small things",Relationship
"compatibility issues ho rahe hain",Relationship
"how to tell my parents about my boyfriend?",Relationship
"i miss my ex so much",Relationship
"kya humein break lena chahiye?",Relationship
"log mere baare mein kya sochenge?",SocialAnxiety
"i am scared of public speaking",SocialAnxiety
"party mein jane mein darr lagta hai",SocialAnxiety
"i can't make eye contact with strangers",SocialAnxiety
"logon se baat karne mein pasina aata hai",SocialAnxiety
"i feel like everyone is judging me",SocialAnxiety
"clipping my words while talking",SocialAnxiety
"i prefer staying at home alone",SocialAnxiety
"social gatherings are very draining",SocialAnxiety
"how to be more confident in a crowd?",SocialAnxiety
"presentation dete waqt haath kaampte hain",SocialAnxiety
"i overthink every social interaction",SocialAnxiety
"phone par baat karne mein darr lagta hai",SocialAnxiety
"i hate being the center of attention",SocialAnxiety
"anxious feeling in a room full of people",SocialAnxiety
"kaise socialize karun samajh nahi aata",SocialAnxiety
"i feel awkward in conversations",SocialAnxiety
"do i sound stupid when i talk?",SocialAnxiety
