"text","intent"
"I want to learn something new but don’t know where to start","Learning"
"I have an exam tomorrow and I’m not prepared","Learning"
"I want to improve my skills but feel lost","Learning"
"I want to study a new topic but I don’t have a plan","Learning"
"I feel like I’m not learning anything useful","Learning"
"I want to become a better student","Learning"
"I need help understanding a concept","Learning"
"I want to learn but I feel demotivated","Learning"
"I want to learn a new skill for career growth","Learning"
"I want to improve my grades","Learning"
"I need a job","Career"
"I want to start earning money","Career"
"I am worried about my career path","Career"
"I don’t know which job suits me","Career"
"I feel stuck in my career","Career"
"I want to improve my resume","Career"
"I need help preparing for interviews","Career"
"I want to change my career","Career"
"I want to become financially independent","Career"
"I want a job in AI/ML","Career"
"I feel stressed and overwhelmed","Stress"
"mujhe bahut dar lag raha hai",Stress
"bohot anxiety ho rahi hai",Stress
"andar se ghabrahat ho rahi hai",Stress
"heart fast dhadak raha hai darr se",Stress
"lagta hai kuch galat hone wala hai",Stress
"bahut zyada tension aur darr hai",Stress
"i feel scared and anxious",Stress
"i am feeling very nervous and afraid",Stress
"I am unable to manage my pressure","Stress"
"I feel like I’m losing control","Stress"
"I can’t handle my responsibilities","Stress"
"I feel mentally exhausted","Stress"
"I am getting anxious every day","Stress"
"I feel like I am failing","Stress"
"I feel tense all the time","Stress"
"I am under a lot of stress","Stress"
"I can’t relax","Stress"
"I want to become my best version","SelfImprovement"
"I want to improve my habits","SelfImprovement"
"I want to be more disciplined","SelfImprovement"
"I want to improve my personality","SelfImprovement"
"I want to build confidence","SelfImprovement"
"I want to improve my time management","SelfImprovement"
"I want to build a better routine","SelfImprovement"
"I want to become more productive","SelfImprovement"
"I want to build good habits","SelfImprovement"
"I want to become a better person","SelfImprovement"
"I feel lonely and disconnected","Loneliness"
"I feel like nobody understands me","Loneliness"
"I feel isolated","Loneliness"
"I don’t have anyone to talk to","Loneliness"
"I feel alone even in a crowd","Loneliness"
"I miss my friends","Loneliness"
"I feel emotionally alone","Loneliness"
"I feel ignored","Loneliness"
"I feel like I don’t belong","Loneliness"
"I feel like I have no support","Loneliness"
"I am facing issues in my relationship","Relationship"
"I feel disconnected from my partner","Relationship"
"I don’t know how to communicate with my partner","Relationship"
"I feel my partner doesn’t understand me","Relationship"
"I am struggling with trust issues","Relationship"
"I feel emotionally distant from my partner","Relationship"
"I am confused about my relationship","Relationship"
"I feel hurt by my partner’s behavior","Relationship"
"I want to improve my relationship","Relationship"
"I want advice for my relationship","Relationship"
"I feel physically tired and weak","Health"
"I am not sleeping well","Health"
"I feel low on energy","Health"
"I feel like my health is deteriorating","Health"
"I need help improving my health","Health"
"I want to build a healthy lifestyle","Health"
"I feel mentally drained","Health"
"I want to improve my diet","Health"
"I want to start exercising","Health"
"I feel unhealthy and anxious","Health"
"I am worried about money","Finance"
"I don’t know how to manage my finances","Finance"
"I want to save money","Finance"
"I want to invest but I don’t know how","Finance"
"I have financial problems","Finance"
"I want financial stability","Finance"
"I need help with budgeting","Finance"
"I feel stressed about money","Finance"
"I want to earn more money","Finance"
"I want to plan my expenses","Finance"
"I feel demotivated","Motivation"
"I can’t stay motivated","Motivation"
"I feel like giving up","Motivation"
"I don’t feel like doing anything","Motivation"
"I feel lazy and unproductive","Motivation"
"I want to get motivated","Motivation"
"I want to find my purpose","Motivation"
"I need motivation to study","Motivation"
"I want to get back on track","Motivation"
"I want to build motivation habits","Motivation"
"kya mai job lu ya padhai karun",Confusion/DecisionMaking
"should i study or take a job",Confusion/DecisionMaking
"career decision samajh nahi aa raha",Confusion/DecisionMaking
"do options me confuse hoon",Confusion/DecisionMaking
"which path should i choose",Confusion/DecisionMaking
"I am confused about my future","Confusion/DecisionMaking"
"I can’t decide what to do","Confusion/DecisionMaking"
"I am unsure about my goals","Confusion/DecisionMaking"
"I am stuck and confused","Confusion/DecisionMaking"
"I don’t know what decision to take","Confusion/DecisionMaking"
"I need help making a decision","Confusion/DecisionMaking"
"I am uncertain about my next step","Confusion/DecisionMaking"
"I feel lost","Confusion/DecisionMaking"
"I am confused about my life choices","Confusion/DecisionMaking"
"I am not sure what to do next","Confusion/DecisionMaking"
